country,scoreaxisLeagueName,leagueId
"Liechtenstein","Liechtenstein Cup",""
"Lithuania","A Lyga Lithuania",""
"Lithuania","Lithuanian Supercup",""
"Lithuania","I Lyga Lithuania",""
"Lithuania","Lithuanian Cup",""
"Luxembourg","National Division Luxembourg",""
"Luxembourg","Luxembourg Cup",""
"Malaysia","Super League Malaysia",""
"Malaysia","Premier League Malaysia",""
"Malta","Premier League Malta",""
"Malta","Challenge League Malta",""
"Malta","FA Trophy Malta",""
"Mexico","Ascenso MX Mexico",""
"Mexico","Liga Premier Mexico",""
"Mexico","Liga MX Femenil Mexico",""
"Moldova","Super Liga Moldova",""
"Moldova","Moldovan Super Cup",""
"Moldova","Moldovan Cup",""
"Montenegro","2. CFL Montenegro",""
"Montenegro","1. CFL Montenegro",""
"Montenegro","Montenegrin Cup",""
"Morocco","Botola 2 Morocco",""
"Morocco","Botola Pro Morocco",""
"Netherlands","Tweede Divisie Netherlands",""
"New Zealand","Premiership New Zealand",""
"Nigeria","NPFL Nigeria",""
"North Macedonia","Vtora Liga North Macedonia",""
"North Macedonia","Prva Liga North Macedonia",""
"North Macedonia","North Macedonian Super Сup",""
"North Macedonia","North Macedonian Cup",""
"Northern Ireland","Irish Cup Northern Ireland",""
"Northern Ireland","Championship Northern Ireland",""
"Northern Ireland","League Cup Northern Ireland",""
"Norway","1. Divisjon Women Norway",""
"Norway","Toppserien Women Norway",""
"Norway","3. Divisjon Norway",""
"Norway","2. Divisjon Norway",""
"Norway","Norway Cup Women",""
"Norway","Norway Super Cup",""
"Oman","Professional League Oman",""
"Paraguay","Primera Division Paraguay",""
"Paraguay","Division Intermedia Paraguay",""
"Paraguay","Copa Paraguay",""
"Peru","Liga 1 Peru",""
"Peru","Liga 2 Peru",""
"Peru","Copa Bicentenario Peru",""
"Peru","Copa Peru",""
"Philippines","PFL Philippines",""
"Poland","I Liga Poland",""
"Poland","II Liga Poland",""
"Portugal","Liga 3 Portugal",""
"Russia","Second League Russia",""
"San Marino","Campionato Sammarinese San Marino",""
"San Marino","Coppa Titano San Marino",""
"Scotland","Highland/Lowland League Scotland",""
"Scotland","Scottish Challenge Cup",""
"Singapore","Singapore League Cup",""
"Singapore","Singapore Cup",""
"Slovakia","Slovak Cup",""
"Slovakia","2. Liga Slovakia",""
"Slovakia","Super Liga Slovakia",""
"Slovakia","Slovak Super Cup",""
"Slovenia","Slovenian Cup",""
"Slovenia","PrvaLiga Slovenia",""
"Slovenia","2. SNL Slovenia",""
"Slovenia","Slovenian Supercup",""
"South Africa","South African Betway Premiership",""
"South Africa","National First Division South Africa",""
"South Africa","South African Cup",""
"South Africa","MTN 8 Cup South Africa",""
"South Africa","Diski Challenge",""
"South Africa","League Cup",""
"Spain","Primera División RFEF Spain",""
"Spain","Liga F Spain",""
"Sweden","2. Division Sweden",""
"Sweden","1.Division Sweden",""
"Sweden","Damallsvenskan Sweden",""
"Switzerland","1. Liga Switzerland",""
"Switzerland","Promotion League Switzerland",""
"Syria","Premier League Syria",""
"Taiwan","Premier League Taiwan",""
"Tanzania","Premier League Tanzania",""
"Thailand","Thai League Thailand",""
"Thailand","Thai League 2 Thailand",""
"Tunisia","Ligue I Tunisia",""
"Turkiye","2. Lig Turkey",""
"Turkiye","3. Lig Turkey",""
"USA","USL Championship USA",""
"USA","US Open Cup",""
"USA","NWSL Challenge Cup USA",""
"USA","NWSL USA",""
"USA","NISA USA",""
"USA","USL League One USA",""
"Uganda","Premier League Uganda",""
"Ukraine","U19 League",""
"United Arab Emirates","President's Cup UAE",""
"Uruguay","Primera Division Uruguay",""
"Uruguay","Segunda Division Uruguay",""
"Uzbekistan","Super League Uzbekistan",""
"Uzbekistan","Uzbekistan Cup",""
"Uzbekistan","Super Cup",""
"Uzbekistan","Pro Liga",""
"Venezuela","Primera Division Venezuela",""
"Venezuela","Segunda Division Venezuela",""
"Vietnam","V.League Vietnam",""
"Vietnam","Vietnamese Cup",""
"Zambia","Super League Zambia",""
"Zimbabwe","Premier League Zimbabwe",""
